web-scraper-order,name_en,company_games,company_description,company_descr_country,company_descr_city,link,top_level_domain,tld_country,link_geoip
1521882211-106,Minato Giken,,Minato Giken (株式会社港技研) was headed by former Sega [1] and Arc System Works programmer Kenichi Iwanaga (岩永研一). It closed in 1997.,[],[],,,,
1521882657-321,Arcadia,,"Appears to have been started by former Telenet Japan staff. (On that note, programmers Hiroyuki Kai and Yasuyuki Kaji appear to be the same person.)",[],[],,,,
1521882073-39,Racjin,,"Established on April 17, 1995 [1], Osaka-based Racjin Co., Ltd. (株式会社ラクジン) changed its name from Racdym in 2000 so that it would be more Japanese-pronunciation-friendly. [2] (Both names are written and pronounced the same in Japanese.)",[],[],,,,
1521882454-224,Enter-Tech,,"Oregon-based Tuni Electro Services, Inc. (TES) was started by James Thuney in 1981. The company had a video game operation in Tempe, Arizona, that consisted of development, sales and marketing [1], and a 12,000-square-foot factory.  A 13,000-square-foot factory was located in Vancouver, Washington. [2]",[],"['Oregon', 'Tempe', 'Vancouver', 'Washington']",,,,
1521882343-170,Include Studio,,"Include Studio (有限会社インクルードスタジオ) is a programming contractor based in Kawanishi, Hyogo prefecture, Japan. It was established in September 2001 and is headed by Akitoshi Sasaki (笹木昭利). The company's primary business is programming services for business and web applications.",['Japan'],['Kawanishi'],,,,
1521882460-227,ELS,,Research Methods: Hidden data,[],[],,,,
1521882012-9,Shannon,,"Shannon (株式会社シャノン) was established February 14, 2007 by Takeo Iijima (飯島健男), who previously headed Pandora Box. The company owns the rights to Pandora Box's catalog.",[],[],,,,
1521882548-270,Comix,,"UPL is said to have developed Return of the Invaders, but some digging reveals the following strings: [1]",[],[],,,,
1521882308-153,JAMP,,"JAMP Inc. (日本メディアプログラミング株式会社; Japan Media Programming) was a software development company started on September 1, 1981. [1] It also operated a subsidiary in the Philippines called JAMP Cebu Inc. (株式会社セブジャンプ), which later became Booom!! Interactive. [2]",['Philippines'],[],,,,
1521882680-332,Amble,,"Amble (有限会社アンブル) was established on June 21, 1994. Mamoru Shiratani (白谷守) is the president. [1] [2]",[],[],,,,
1521882201-101,Mintjulep,,"Mintjulep Co., Ltd. (有限会社ミントジュレップ) was run by Masafumi Sakashita (坂下雅史) [1], a former graphic designer at Nintendo R&D1. [2]",[],[],,,,
1521881996-1,Soft Machine,,Not to be confused with Sofmachine,[],[],,,,
1521882349-173,Imagesoft,,Yukio Tamura's (田村幸雄) company.,[],[],,,,
1521882170-86,Neverland,,"Neverland Company Inc. (株式会社ネバーランドカンパニー) was established April 14, 1993 and based in Shinjuku-ku, Tokyo (later Minami-ku, Tokyo). The company was headed by Makoto Takada (高田誠) and much of the initial staff came from Wolf Team. The company declared bankruptcy on January 22, 2014.",[],"['Tokyo', 'Tokyo']",,,,
1521882478-236,Dream Japan,,"Established March 18, 1996. Headed by Chachamaru Sasazawa (笹沢茶々丸), formerly of Human. Involved in software development, audio/video production, music CD/video production, talent management, and sales promotion. [1]",[],[],,,,
1521882603-297,Billiken Soft,,(有限会社ビリケンソフト),[],[],,,,
1521882355-176,Ibidinc,,"ibidinc was a software design company based in Hartford, Connecticut, which developed 18 commercially published products including video games, PC software, and software-based toys. It was founded by Michael Feldman and operated from 1983 to 1987 (incorporated on December 10, 1982 [1]). [2]",[],['Hartford'],,,,
1521882098-51,Pixel,,"Research Methods: Actual mentions, interviews, shared staff",[],[],,,,
1521882599-295,Bit2,,"Bit2 (株式会社ビッツー) was a publisher and developer in Sendagaya, Shibuya. It appears to have been started by former members of Casio's game development staff. [1]",[],[],,,,
1521882213-107,Minakuchi Engineering,,"Minakuchi Engineering (水口エンジニアリング株式会社) was established in May 1984 and worked on about 40 titles. It was named after the town in which it was based, Minakuchi, Shiga [1], which merged with several other towns in 2004 to form the city of Koka. [2]",[],['Minakuchi'],,,,
1521882678-331,ANex,,アネックス,[],[],,,,
1521882706-344,Affect,,"Affect Co., Ltd. (株式会社アフェクト) was established on November 8, 1990. Tsutomu Yoshikawa (吉川勉), formerly of Taito and Athena, is the president. [1]",[],[],,,,
1521882082-43,Punk Development,,Punk Development was a subsidiary and product development arm of publisher RazorSoft.,[],[],,,,
1521882160-81,Nexece,,Nexece Inc. (株式会社ネクセス). Appears to have included a number of former Sankindo/Face staff.,[],[],,,,
1521882684-334,ALU,,"ALU Limited Company (有限会社エーエルユー) was established November 2, 1990. In addition to the below titles, they also developed the ""NetFront"" network communication SDK for the PlayStation 2.",[],[],,,,
1521882090-47,Pre-Stage,,"Pre-Stage Inc. (株式会社プレ・ステージ). Established in 1959, incorporated December 6, 1991. Headed by Koshi Fujimoto (藤本浩史). Built out a console development team around 1994 which included a number of former Technos Japan, Sting, and KID staff; this team appears to have been headed by Double Dragon creator Yoshihisa Kishimoto (岸本良久).",[],[],,,,
1521882613-302,Bell,,"Bell Corporation (株式会社ベル) was apparently connected to Shiroshita Engineering (now SEG). [1] The company included some former T&E Soft staff. Some Bell staff later established Imagineer Interactive [2], a development subsidiary of publisher Imagineer. [3]",[],[],,,,
1521882120-62,Opus,,"Opus Studio Inc. (株式会社オーパス; formerly known in English as Opus Corp.) was established on March 6, 1990. Takayuki Suzuki (鈴木隆志) is the CEO. [1] (Suzuki was previously part of the sound group Goblin Sound.)",[],['March'],,,,
1521882203-102,Mine Loader Software,,"Mine Loader Software Co., Ltd. (皿鎏软件有限公司), founded in 2003, is a development company based in Shanghai, China, with branches in Tianjin and Dalian. Clients include Square Enix, Capcom, Bandai Namco, Take Two, and Warner Bros. [1]",['China'],"['Shanghai', 'Tianjin', 'Dalian']",,,,
1521882499-246,Developer Resources,,Developer Resources was founded by Kevin Seghetti and Scott Statton with financial assistance from Erik Anderson in February 1991 (while Seghetti was working on Rampart for the Master System). The main purpose of the company was to create game development systems for use with the Mega Drive/Genesis and Super Famicom/Super NES. [1],[],[],,,,
1521882564-278,Cave Logic Studios/Recombinant Limited,,"""Tired of doing games under contract and having all of the code belong to the
publisher,"" Kevin Seghetti and Will Norris set up Cave Logic Studios in 1994 in order ""to be able to negotiate shared ownership of engines, libraries, everything which wasn't game specific.""",[],[],,,,
1521882351-174,Imageepoch,,"Imageepoch Inc. (株式会社イメージエポック) was a developer and publisher headed by Ryoei Mikage (御影良衛) and based in Minato-ku, Tokyo. It was established as a limited partnership in August 2004, and formally incorporated on June 9, 2005. It was originally only a CG and graphics contractor, but established a full development team in 2006.[1] The company grew quickly, employing more than 120 people in 2011, but business steadily declined in the following years. Reportedly, most of the staff left and the company all but ceased operations following the completion of Stella Glow in late 2014. Associated company Smile Online Game filed for bankruptcy on May 7, 2015, and Imageepoch itself followed suit the following week on May 13th. [2]",[],"['Minato', 'Tokyo']",,,,
1521882289-144,K-Byte,,"K-Byte was a software developer and contract manufacturer of electronic parts once based in Troy, Michigan. It was originally a division of Kay Enterprises Co. (owned by Koltanbar Engineering) until it was sold to Patrick J. Flynn in 1983.",[],"['Troy', 'Michigan']",,,,
1521882398-197,Givro,,"Almanic Corp. (株式会社アルマニック) was started in March 1990 by Noriyuki Tomiyama (富山徳之) from Technos Japan, Takashi Yoneda (米田喬) from Enix, and Takashige Shichijo (七條敬重) from Aicom. Shichijo was the development director until he left in 1996 to join Quintet. [1] The company was later renamed Givro (株式会社ギブロ). [2]",[],['March'],,,,
1521882417-206,G-Sat,,"G-Sat (""Game Satellite"" [1]) was a game development company started by Sega and advertising agency Asatsu-DK. [2] Staff included people who worked on the original Mother for the Famicom like Tatsuya Ishii (石井達也) and Takayuki Onodera (小野寺崇之). Producer/director Masato Watanabe (渡辺雅人) met them through a video game magazine he was editing at the time. [3]",[],[],,,,
1521882108-56,Panoramic Software,,Consulting company started by John Van Ryzin (H.E.R.O.) [1],[],[],,,,
1521882519-256,Cyberhead,,"Cyberhead, Inc. (有限会社サイバーヘッド) was originally established as Arsys Software, Inc. (有限会社アルシスソフトウェア) on November 11, 1985, by Osamu Nagano (長野修) and Kotori Yoshimura (吉村ことり) from Technosoft. Nagano was the president. It changed names in July 1996 [1] and went bankrupt in September 2001. [2]",[],[],,,,
1521882024-15,Scitron & Art,,"Scitron & Art Inc. (サイトロン・アンド・アート株式会社) was a company established on August 8, 1986 [1], known mostly for releasing video game music soundtracks. It was also involved in software development and even did some joint development with Xevious creator Masanobu Endo's company Game Studio [2]. Later it was primarily involved with voice and music production.",[],[],,,,
1521882704-343,Agenda,,"Agenda Co., Ltd. (株式会社アジェンダ) is a software company established on November 2, 1990, and headed by Hitoshi Chiba (千葉均) [1]. It was originally started by former dB-SOFT staff. Argent was previously used as a brand name for games. [2]",[],[],,,,
1521882427-211,Fortyfive,,"Fortyfive Co., Ltd. (株式会社フォーティファイブ) was founded on May 5, 1990, as AIM (株式会社エイム) and was headed by Hideaki Tsujikawa (辻川英章). [1] Some programmers from Advance Communication made up the early staff. The company was renamed in June 1998. [2]",[],[],,,,
1521882702-342,AIC Spirits,,"AIC Spirits (AICスピリッツ) was a game development subsidiary of Japanese animation studio AIC. The company seems to have existed from 1993-1999. Much of the staff seem to have come from either Micro Vision or AIC's own animation teams, and much of the staff went to JAMP around 1995.",[],['Much'],,,,
1521882124-64,Opera House,,"Opera House Inc. (株式会社オペラハウス) is a development company established on July 28, 1989, by Satoru Miki (三木暁) and Hiroyuki Fujiwara (藤原博之) in Shinjuku, Tokyo, later moving to Nakameguro, Meguro, Tokyo. Miki and Fujiwara first began programming together in 1985 (eventually as Miki & Fujiwara Production [1]). The company is headed by Fujiwara and Satoru Ichihara (市原暁). [2]",[],"['Tokyo', 'Tokyo', 'Miki', 'Miki']",,,,
1521882361-179,Human,,Human Corporation (ヒューマン株式会社) was a publisher and developer best known for franchises such as Fire Pro Wrestling and Clock Tower. Choshiro Suzuki (鈴木長四郎) was the president. [1] It went bankrupt in November 1999. [2],[],[],http://web.archive.org/web/*/http://www.human.co.jp/,,,
1521882464-229,Electronic Arts Victor,,"Electronic Arts Victor (エレクトロニック・アーツ・ビクター株式会社) (aka EA Victor, EAV) was a joint venture of Electronic Arts (EA) and Victor Musical Industries [1] (now Victor Entertainment [2]) started in September 1992 in Tokyo, Japan. [3] It primarily published and localized EA products for the Japanese market, with the intention of making the EA brand known and accepted in that country. [4]",['Japan'],['Tokyo'],,,,
1521882412-204,Garden,,"Garden Ltd. (有限会社ガーデン) was started in January 2000 by members of Sun Studio, a team of Human contract employees who made Mizzurna Falls (PS1). [1] Naoki Sonoda (薗田直樹) was the president. [2]",[],[],,,,
1521882061-33,Relief Ace,,Relief Ace (リリーフエース). Seems to have splintered off of Alfa System around 1995.,[],[],,,,
1521882521-257,Cybelle,,"Cybelle Co., Ltd. (株式会社サイベル) was established October 1, 1992, and headed by Motoyasu Kisuki (木透基泰). Evidence suggests it was originally one of Ving's development teams, which went independent. [1][2] Primary business was ports and bishoujo games.",[],[],,,,
1521882486-240,Doda,,"Doda Inc. (有限会社ドーダ) was established in May 1996 [1] as a majority-owned subsidiary of Genki. (Genki owned 66%.) [2] It was acquired outright by Genki and dissolved on May 31, 2000. [3] Tsutomu Hagiwara (萩原務) was the president. [4]",[],[],,,,
1521882421-208,Funari,,Appears to have been started by former Data East staffers,[],[],,,,
1521882246-123,Make Software,,"Established in November 1989, Make Software, Inc. (株式会社メイクソフトウェア) plans, develops, and sells electronic amusement equipment, primarily purikura booths. The Osaka-based company also developed video games until December 2000. The president is Hiromu Yamamoto (山本廣) [1], formerly of Nichibutsu.",[],[],,,,
1521882184-93,N.C.M. Entertainment,,"N.C.M. Entertainment, Inc. was a Florida-based company started by Nimai C. Malle, formerly of Hudson. It was incorporated on September 23, 1994. [1]",[],"['Florida', 'Hudson']",,,,
1521882275-137,Kouyousha,,"Kouyousha Ltd. (有限会社光遊社) Started April 17, 1996 by Hiroshi Nakamura (仲村浩), formerly of Data East. [1]",[],[],,,,
1521882240-120,Marionette,,"Marionette, Inc. (株式会社マリオネット) was a development company started on April 24, 1984, and was later an associated company of GAE. [1]",[],[],,,,
1521882380-188,Hamilton and Associates,,Research Methods: Online resources,[],[],,,,
1521882010-8,Shen,,"Shen Technologies SARL was a developer in Paris, France, with roots in Constellations, an Atari ST demogroup that included programmer Elysée Adé. Adé was able to obtain an Atari Jaguar development kit through the company Virtual Xpérience, and subsequently he and his team were able to make the racing game Super Burnout. With the money they were paid prior to its release, they founded Shen. After developing two soccer games for the PlayStation, it shut down by the end of 1998. For a more in-depth account of the company's history, read here.",['France'],['Paris'],,,,
1521882339-168,Infini Entertainment Technology,,"Infini Entertainment Technology, Inc. (株式会社アンフィニ･エンタテイメント・テクノロジ) was a digital media company started in April 1994 by Hajime Nakamura (中村一), formerly of CRC Research Institute. It closed in 2000 (or so it says here).",[],[],,,,
1521882363-180,Hudson-Era H.K.,,"Hudson-Era Soft Co., Ltd. (和盛電腦技術有限公司) was a joint venture of Hudson and either Taiwanese company Era Tech or its parent company, media conglomerate Era Communications [1], that was based in Taiwan and Hong Kong.","['Taiwan', 'Hong Kong']",['Hudson'],,,,
1521882386-191,Graphic Research,,"Graphic Research Co., Ltd. (グラフィックリサーチ株式会社; also went by GRC for short) was established in May 1982, incorporated on June 8, 1984 [1], and went bankrupt on June 28, 2005. [2] Yoshiaki Sawada (澤田芳明) was the president. [3] (Sawada was previously director of Nichibutsu Leisure System. [4])",[],[],,,,
1521882507-250,Davis & Nussrallah & Associates,,"Davis & Nussrallah & Associates, Inc. was a Texas-based company incorporated on April 7, 1983. Stephen L. Davis was the president. [1]",[],"['Davis', 'Texas', 'Davis']",,,,
1521882503-248,Dennou Eizo Seisakusho,,"Dennou Eizo Seisakusho (有限会社電脳映像製作所) was established on December 1, 1996. [1]",[],[],,,,
1521882079-42,Quality Software,,null,[],[],,,,
1521882088-46,Produce!,,"Produce! (株式会社プロデュース) was established on April 6, 1990, and was headed by Shinji Imada (今田真二), who planned R-Type and Image Fight at Irem. [1]",[],[],,,,
1521882474-234,E.O. Imagination,,"E.O. Imagination Inc. (株式会社イーオーイマジネーション) was established on April 26, 1996. Hydlide creator Tokihiro Naito (内藤時浩) was the founder and president. [1]",[],[],,,,
1521882589-290,Bobco,,"Former Atari, Inc. programmer Bob Polaro's company. Operated from September 1984 to April 1990. [1]",[],[],,,,
1521882726-352,Absolute Entertainment,,"Absolute Entertainment, Inc. (incorporated on August 19, 1986) was a New Jersey-based publisher and developer founded by Garry Kitchen, Dan Kitchen, Alex DeMeo, and John Van Ryzin, all previously from Activision's East Coast Design Center. (David Crane, who was based in California, was not a founding member. He was hired later. [1])",[],[],,,,
1521882049-27,Roklan,,"Roklan Corporation was a Chicago-area publisher and contract developer headed by Larry Gabriel [1], started in the 1970s as a management consulting firm. [2] Ron Borta joined in 1980 and started the Computer Technology Group, also known as Roklan Software. [3] From there, the company grew to about 60 employees at its peak, with about 350 titles for about 20 publishers claimed to have been produced. Due to the downturn in the video game market, Roklan focused on educational software, then shut down in 1984. [4]  After that, some former employees started On-Time Software.",[],['Chicago'],,,,
1521882597-294,Bitbox,,"Bitbox was formed by ex-Sega employees and was eventually absorbed by Jaleco. Bitbox's director, main programmer, and main designer took key positions in Jaleco's arcade development division. [1]",[],[],,,,
1521882116-60,Pacific Manufacturing,,"Pacific Manufacturing Co., Ltd. (パシフィック工業株式会社) was a subsidiary of Taito established in 1963 to plan, produce, and develop products for the parent company. It was merged with another subsidiary, Japan Vending Machine, in 1986. [1]",[],[],,,,
1521882215-108,Mighty Craft,,Mighty Craft Co. (株式会社マイティークラフト) was started in June 1988. Hiromasa Nishikawa (西川博成) is the CEO. [1],[],[],,,,
1521882231-116,Mediamuse,,"Mediamuse Inc. (株式会社メディアミューズ) was a software company in Shinagawa, Tokyo, established on October 31, 1985. Its main client by far was media company KSS. It was even located in the KSS Togoshi Building [1], but it is unknown if KSS held a financial stake.",[],['Tokyo'],,,,
1521882447-221,Exrays,,"EXRAYS Co., Ltd. (有限会社エクスレイズ). Established November 20, 1997 in Suginami-ku, Tokyo, and headed by Kenichiro Hori (堀健一郎). Seems to have been started by former Racdym staff.",[],['Tokyo'],,,,
1521882396-196,Glodia,,"Glodia Co., Ltd. (株式会社グローディア) was started in 1986 by a group of Telenet Japan staff and headed by programmer Osamu Ikegame (池亀治). It was officially incorporated in 1990, and was based in the Suginami ward of Tokyo. The company appears to have closed down around 1995.",[],['Tokyo'],,,,
1521882505-249,Dearfield,,"Dearfield Inc. (株式会社ディアフィールド) is a development company in Shinjuku, Tokyo. It was established by CEO Kenji Urano (浦野賢二) on October 17, 2000. [1] (Urano previously worked at Human, BPS, and MTO. [2])",[],['Tokyo'],,,,
1521882544-268,Computer Gang Stars,,"Computer Gang Stars Corp. may have included former Coreland staff [1], possibly including future C-lab. head Masayoshi Koyama. [2]",[],[],,,,
1521882296-147,Jorudan,,"Established in December 1979 as Jordan Information Service Co., Ltd. (株式会社ジョルダン情報サービス) [1] by president and CEO Toshikazu Sato (佐藤俊和) [2], Jorudan Co., Ltd. (ジョルダン株式会社) (as it was rechristened in December 1989) [3] is a company involved with software development, digital content for the Web and mobile phones, the travel industry, and more. [4]",[],[],,,,
1521882075-40,Quintet,,"Quintet Co., Ltd. (株式会社クインテット) was established in April 1989 in Kawasaki-shi, Kanagawa (later Tama-shi, Tokyo), by Tomoyoshi Miyazaki (宮崎友好) and Masaya Hashimoto (橋本昌哉), who had previously worked on the first two Ys titles at Nihon Falcom. The studio was well-respected for their Super Famicom RPGs published by Enix, but later on mostly took uncredited contract work. The company existed until at least 2006, but went bankrupt sometime after that. [1]",[],"['Kawasaki', 'Tokyo']",,,,
1521882449-222,Eurocom,,"British developer founded in 1988 by Ian Sneap, Mat Sneap, Tim Rogers, Neil Baldwin, and Hugh Binns.",[],[],,,,
1521882665-325,Aprinet,,Did Aprinet become or merge with another company to form Planning Office Wada/VR-1 Japan?,['Japan'],[],,,,
1521882552-272,Clearwater Software,,"Clearwater Software Development Co., LLC (or ""ClearWater,"" as it's written on one document) was a small, short-lived development house based in Truckee, California, that was started by ex-employees of Tahoe Software Productions. It was organized as an LLC on November 13, 1995.",[],['Truckee'],,,,
1521882642-314,Atelier Double,,"Atelier Double Inc. (株式会社アトリエドゥーブル) was started and headed by Toshiro Inoue (井上季郎) and established on December 26, 1986. [1] (Inoue also ran a company started in 2000 called Contents.)",[],[],,,,
1521882546-269,Communicate,,"Communicate, Inc. was a Japanese development company involved with music sequencer software and computer games. It merged with TRY in April 1987 to form Sonata, which later became Human. [1]",[],[],,,,
1521882540-266,Conexus,,null,[],[],,,,
1521882263-131,LJN,,"You are seeing this because you were probably searching for LJN. This has been created because apparently ""LJN"" is not enough characters for MediaWiki's search engine. Get all your LJN info here!",[],[],,,,
1521882732-355,A-Max,,"A-Max (エーマックス株式会社) is a Seijou, Setagaya, Tokyo-based development company started in 1993 and headed by Ryoji Amano (天野亮司), who previously worked on the Formation Soccer series at Human.",[],['Tokyo'],,,,
1521882402-199,Giant Seven,,"Giant Seven (有限会社ジャイアントセブン). Splinter of Quintet headed by Takashige Shichijo (七條敬重), who had previously also worked at UPL, Aicom, and Almanic / Givro. Started in December 1999 and closed December 2003.",[],[],,,,
1521882345-171,In-Glove,,"IN-GLOVE Co.,Ltd. (株式会社イングローブ), based in Toyoshima-ku, Tokyo, was started by former Exrays staff on February 17, 2003 and headed by Makoto Nakabayashi (中林誠). It declared bankruptcy on October 7, 2015. [1]",[],['Tokyo'],,,,
1521882488-241,Diversified Software Development,,"Diversified Software Development, Inc. (aka DSD, Inc.) was a Connecticut-based company incorporated on February 1, 1983, and dissolved on December 5, 1984. [1] Michael Doherty, who previously programmed ColecoVision games at Coleco, was a principal in the company. [2]",[],[],,,,
1521882593-292,Bits Laboratory,,"Bits Laboratory Co. (有限会社ビッツラボラトリー) was established on December 24, 1985 [1], by a group of freelancers. [2] It was originally called Workss.",[],[],,,,
1521882273-136,Kuusoukagaku,,"Originally founded as Softhouse Kuusoukagaku Kenkyuujo (ソフトハウス空想科学研究所) in March 1991 [1], Kuusoukagaku Corp. (空想科学株式会社) was started by former Data East employees. Today, the company deals exclusively with mobile gaming.",[],['March'],,,,
1521882209-105,Mind's Eye Technology,,"Mind's Eye Technology, Ltd. is a Massapequa Park, New York-based consulting firm started in 1983 and operated by Dennis Intravia.",[],"['Massapequa Park', 'New York']",,,,
1521882223-112,Micro Projects Engineering,,Founded in 1981 and headed by Manolito Adan [1],[],[],,,,
1521882000-3,Soar Software,,"Soar Software Corporation was a San Francisco-based company incorporated on January 23, 1996. Hirobumi Igarashi was the president. It was located in the same building as Hot-B USA, at 1255 Post Street.",[],['San Francisco'],,,,
1521882047-26,Rozner Labs,,"Rozner Labs, Inc. (aka Rozner Labs Software Group) was incorporated on July 12, 1993. Stephen Rozner was the president. [1]",[],[],,,,
1521882490-242,Digital Whip,,"Digital Whip Inc. (有限会社デジタルホイップ) was/is a software company founded in 1990 and based in Shinagawa, Tokyo [1], with a branch office in Shibuya. [2]",[],['Tokyo'],,,,
1521882367-182,Highwaystar,,"Highwaystar Co., Ltd. (株式会社ハイウェイスター) was established in February 1996 and headed by Koichi Osafune (長船浩一). [1] In 2003 a group of former staff established POT, which was originally an associated company of Highwaystar but later became independent.",[],[],,,,
1521882572-282,Capcom Studio 8,,"Capcom Studio 8, Inc., a wholly owned subsidiary of Capcom U.S.A., was Capcom's U.S. research and development team. [1] It was originally incorporated on May 15, 1995 [2], as Capcom Digital Studios, Inc. (name changed in May 2003 [3]) The company was shut down in 2006. [4] [5] In 2007, it was acquired by and merged into Capcom Entertainment. [6] [7]",[],[],,,,
1521882690-337,Alexandria,,"Alexandria, Inc. (incorporated on July 2, 1992 [1]) was a development company founded by Ken Balthaser, Neil Balthaser, and Eric Yiskis. [2] It originally began as a California general partnership called Visions Unlimited. [3] [4]",[],['Alexandria'],,,,
1521882271-135,Layup,,"Layup Co., Ltd. (株式会社レイアップ; previously written ""Lay-Up"" [レイ・アップ]) plans, produces, develops, manufactures, and sells products such as toys. It was established on August 15, 1979. [1]",[],[],,,,
1521882632-311,Atop,,Appears to be a splinter of Westone.,[],[],,,,
1521882178-90,Natsu System,,"Natsu System (有限会社夏システム) was presumably headed by Shinichiro Yoshikawa (吉川真一郎). It had an eroge brand called ""Summer."" [1] (""Natsu"" means ""summer"" in Japanese.) It may have been affiliated with a company called Systembit.",[],[],,,,
1521882322-160,Itec,,null,[],[],,,,
1521882659-322,Arcade Zone,,"Arcade Zone (originally C&L Associated?) was started in 1992 [1] in London by former Titus freelancer Carlo Perconti with former Titus employees Lyes Belaidouni and Gabriel Guary. No longer able to find buyers (Sony discontinued distributing Nintendo products) and incapable of publishing products themselves, they shut down the company and stopped any ongoing development. Perconti and Belaidouni started Toka afterwards. [2]",[],['London'],,,,
1521882550-271,Clockwork Tortoise,,"Clockwork Tortoise Inc. was a development studio started by former employees of Malibu Interactive. [1] It was incorporated on September 21, 1993. Stephen Thomson was the president. [2]",[],[],,,,
1521882172-87,Nenriki,,"Nenriki Co., Ltd. (有限会社念力) is CG graphics production company, established in June 1997 by a group of freelance artists as Studio Nenriki (スタジオ念力), and incorporated under its current name in October 1999. Much of the staff had previously worked together at Winds. The company is based in Machida-shi, Tokyo and is headed by Takeshi Goya (合谷武).",[],"['Much', 'Machida', 'Tokyo']",,,,
1521882118-61,Pacific Dataworks International,,"Pacific Dataworks International (originally Lyndon & Associates; the names Grey Matter and Discovery Software had been considered) was a development company founded in January 1987 by programmer Troy Lyndon after leaving Gamestar. Incorporated in May 1987, it initially consisted of Lyndon working out of his condo but gradually expanded. [1]",[],[],,,,
1521882267-133,Light-Breeze,,"Light-Breeze (有限会社ライトブリーズ) was a company run by Akira Nakakuma (中隈章), who previously headed Soft Machine. It was also involved in selling kites [1] and producing DVDs. [2] [3]",[],[],,,,
1521882154-78,Nippon Bcom,,"Nippon Bcom Co., Ltd. (株式会社日本ビーコム) is a software company based in Otsu, Shiga, Japan, established December 1980. Shintarou Todokoro (戸所新太郎) is the president.  [1] In the past, it developed games for the Super Famicom, PlayStation, and Saturn. [2] Today, it is heavily involved in typing software. [3]",['Japan'],[],,,,
1521882382-189,GTE Interactive Media,,"Started in January 1990 [1], GTE Interactive Media (GTE-IM) was a Carlsbad, California-based division of GTE Vantage, a wholly-owned subsidiary of the telecom GTE Corporation. Products were published under the GTE Entertainment label. [2] Prior to being renamed in 1994, GTE-IM was known as GTE ImagiTrek. [3] With a downturn in the CD-ROM market and an inability to find a buyer for the division, the announcement was made in January 1997 to shut it down on March 14 of that year. [4]",[],"['Carlsbad', 'March']",,,,
1521882410-203,Gau Entertainment,,Gau Entertainment (有限会社ガウ・エンターテインメント) was a company started by former Wolf Team members. It was acquired by Nextech (now Nex Entertainment) in April 1994. [1],[],[],,,,
1521882644-315,Astroll,,"Astroll Co., Ltd. (株式会社アストロール), headed by Junichi Mizutari (水足淳一), was originally established on April 28, 1977, as 有限会社ユニック (Unic? Unique?). It became Astroll in June 1997. [1]",[],[],,,,
1521882462-228,Eleven,,Appears to have been started by former Kaneko staff,[],[],,,,
1521882008-7,Shout! Design Works,,"Shout! Design Works Co., Ltd. (株式会社シャウトデザインワークス) was established by Shuuhou Imai (今井秋芳), alias Akishi Imai (今井昭志), in 1992 to support his freelance work. Imai previously worked at Atlus as a dot artist. The company was best known for the Tokyo Majin Gakuen franchise, which came about from Imai's desire to work on an original creative project rather than just contract work. After Shout! closed down, Imai went to Now Production, where he would later head a spiritual successor to the Tokyo Majin franchise with Mato Kurenai Yuugekitai / Tokyo Twilight Ghost Hunters.",[],[],,,,
1521882517-255,Company:Cyclone System,,Cyclone System (株式会社サイクロンシステム). Founded by former Aicom employees Yoshiyuki Ishikawa (石川佳幸) and Hiroshi Kazama (風間浩).,[],[],,,,
1521882574-283,Cancel,,Square's MSX team [1],[],[],,,,
1521882320-159,Ivy-Arts,,"Ivy-Arts Corp. (株式会社アイビー・アーツ) is headed by Masaharu Inoue (井上雅晴), formerly of System Sacom. It was originally established on October 9, 1998 [1], as Media Jungle. It was renamed Jungle (株式会社ジャングル) in October 1999 and then its current name in April 2003. [2] The company is involved in game planning and production, computer graphics production, audio and video production, web content production, and motion capturing. [3]",[],[],,,,
1521882158-80,Nexus Interact,,"Nexus Interact Co., Ltd. (株式会社ネクサスインターラクト) was a Roppongi-based development company established on April 23, 1992. The president was Osami Okano (岡野修身) [1], formerly of Tamtex and ASK Kodansha. Much of the original staff came from ASK Kodansha, and many of them were with Taito before that. DaZZ, a publisher, and Creative Nexus, a TV production company, were affiliate companies.",[],['Much'],,,,
1521882636-312,Atlus,,"Atlus Co., Ltd. (株式会社アトラス) was a game company started on April 7, 1986, by a group of former Tehkan (later known as Tecmo) employees. It originally developed games for other publishers but later began publishing its own games, starting with 1989's Puzzle Boy (Kwirk overseas) for the Game Boy. [1]",[],[],,,,
1521882043-24,S-Plan,,"S-Plan Corporation (株式会社エスプラン) was started and headed by Junzou Shimada (嶋田順三), who once worked for Sanritsu. It was originally called Shimada Kikaku (有限会社シマダ企画).",[],[],,,,
1521882482-238,Dplus,,"Dplus (有限会社ディープラス), established in November 1995 [1], was a contract developer started and headed by Takashi Shindo (進藤隆志). It was succeeded by E-Trek Japan in 2000. [2]",[],[],,,,
1521882722-350,Action Graphics,,"Action Graphics, Inc. was a development company based in South Barrington, Illinois, United States [1] (originally Cary? [2]), spun off of Bally to develop games for the Bally Astrocade. It was headed by Bob Ogdon [3], software manager for Dave Nutting Associates [4]. It was incorporated on September 18, 1981 [5], and folded in 1985 [6] during the development of Winter Games. [7]",['United States'],['Cary'],,,,
1521882686-335,Allumer,,"Allumer Inc. (アルュメ株式会社) was established in February 1978 and was headed by Yoshiaki Tsuyuki (津行良明). Due to increased competition and a lack of successful titles, Allumer withdrew from game development and explored new businesses including the development of photo sticker image capture devices. [1] The company suspended business on October 5, 1999 [2], and filed for bankruptcy on February 10, 2015. [3]",[],[],,,,
